Number,Gender,Background,Face color,Occasions,Eyes,Accs on face,Facial Expressions,Accs on head,Clothes,Little Accs
621,2,6,5,2,1,0,1,10,14,4
622,1,7,1,2,1,4,1,10,12,0
623,2,10,5,2,1,5,1,1,17,0
624,2,6,5,2,1,4,1,10,10,0
625,1,4,1,2,1,7,1,7,13,0
626,1,1,1,2,1,0,1,1,14,4
627,2,8,5,2,1,5,1,0,10,0
628,2,6,5,2,1,0,1,1,10,2
629,2,3,5,2,1,5,1,4,10,0
630,2,7,5,2,1,0,1,0,14,1
631,1,10,1,2,1,4,1,0,14,5
632,1,1,4,2,1,0,1,10,12,5
633,2,9,5,2,1,0,1,0,10,5
634,1,8,1,2,1,5,1,0,16,0
635,2,4,5,2,1,0,1,1,10,0
636,2,9,5,2,1,0,1,3,14,3
637,1,5,1,2,1,0,1,2,16,0
638,1,6,4,2,1,0,1,4,14,5
639,2,4,5,2,1,0,1,6,10,4
640,1,9,4,2,1,7,1,2,1,0
641,2,2,5,2,1,1,1,0,1,5
642,2,5,5,2,1,0,1,4,10,0
643,2,10,5,2,1,5,1,0,10,5
644,2,6,5,2,1,3,1,3,10,0
645,1,1,4,2,1,0,1,1,20,3
646,2,4,5,2,1,5,1,0,10,5
647,2,6,5,2,1,1,1,0,14,0
648,2,7,5,2,1,0,1,1,17,0
649,1,5,1,2,1,0,1,0,13,0
650,2,6,5,2,1,0,1,6,10,0
651,1,1,1,2,1,0,1,0,1,5
652,1,3,2,2,2,0,2,5,16,0
653,1,1,2,2,1,0,2,3,13,3
654,1,9,1,2,2,0,1,2,14,0
655,1,4,4,2,1,4,1,7,11,0
656,2,10,5,2,1,5,1,10,1,0
657,2,5,5,2,1,0,1,3,10,5
658,1,2,1,2,1,4,1,7,11,0
659,1,9,1,2,1,5,1,5,13,0
660,1,8,4,2,1,4,1,1,20,0
661,1,5,1,2,1,0,1,3,1,1
662,1,7,4,2,1,0,1,4,16,4
663,1,2,1,2,1,0,1,10,11,2
664,2,9,5,2,1,3,1,0,14,0
665,1,8,1,2,2,0,1,10,1,0
666,2,1,5,2,1,0,1,10,17,5
667,1,6,1,2,1,0,1,1,16,2
668,1,10,1,2,1,0,1,1,11,0
669,2,9,5,2,1,0,1,4,10,0
670,1,2,1,2,1,0,1,0,12,4
671,1,5,1,2,1,0,1,4,16,0
672,2,4,5,2,1,2,1,0,10,2
673,1,6,1,2,1,2,1,0,16,2
674,2,2,5,2,1,0,1,0,10,5
675,2,5,5,2,1,0,1,3,14,4
676,1,2,3,2,1,5,1,0,14,0
677,2,9,5,2,1,0,1,0,10,2
678,2,4,5,2,1,5,1,1,10,0
679,1,7,1,2,1,5,1,1,1,0
680,1,1,1,2,1,0,1,0,1,0
681,1,9,1,2,1,3,1,0,13,5
682,2,3,5,2,1,3,1,0,14,5
683,1,9,1,2,1,4,1,10,12,0
684,2,5,5,2,1,0,1,4,10,5
685,1,3,1,2,2,0,1,9,15,0
686,2,4,5,2,1,0,1,6,10,0
687,1,5,3,2,1,0,1,1,11,2
688,2,2,5,2,1,0,1,10,17,4
689,1,7,1,2,1,0,1,10,11,2
690,2,5,5,2,1,2,1,0,10,0
691,1,6,1,2,1,0,1,10,13,5
692,2,4,5,2,1,0,1,0,10,5
693,1,10,2,2,1,4,2,7,11,0
694,1,2,4,2,1,3,1,0,14,0
695,1,9,1,2,1,0,1,7,11,4
696,1,4,1,2,1,4,1,3,14,0
697,2,7,5,2,1,0,1,10,1,2
698,1,6,2,2,1,0,1,4,15,0
699,1,7,1,2,1,0,1,9,15,4
700,1,10,1,2,1,0,1,10,12,0
701,1,8,1,2,1,3,1,7,11,0
702,2,3,5,2,1,3,1,1,10,0
703,1,5,4,2,1,1,1,0,12,0
704,1,4,2,2,2,0,2,10,11,0
705,1,7,1,2,1,2,1,0,12,5
706,1,10,1,2,1,5,1,3,15,0
707,2,5,5,2,1,2,1,0,17,3
708,1,9,3,2,1,0,1,4,12,4
709,1,6,1,2,1,4,1,2,15,0
710,1,3,1,2,1,4,1,7,13,0
711,1,7,1,2,1,0,1,9,12,3
712,2,10,5,2,1,2,1,0,1,0
713,1,5,3,2,1,0,2,3,13,3
714,1,9,1,2,1,0,1,1,15,0
715,1,7,4,2,1,1,1,0,13,0
716,1,2,1,2,1,0,1,7,12,0
717,2,7,5,2,1,0,1,0,10,0
718,1,8,3,2,1,4,2,0,11,5
719,1,10,1,2,1,0,1,4,14,5
720,1,3,1,2,1,1,1,0,15,0
721,2,9,5,2,1,0,1,3,11,1
722,1,10,1,2,1,0,1,1,16,4
723,1,8,2,2,2,0,2,0,12,0
724,1,4,1,2,1,0,1,9,15,0
725,2,6,5,2,1,3,1,4,1,0
726,1,1,1,2,1,0,1,1,15,2
727,1,2,4,2,4,0,1,10,1,5
728,2,3,5,2,1,0,1,0,10,3
729,1,4,3,2,1,4,2,2,14,0
730,2,2,5,2,1,0,1,0,10,1
731,1,7,1,2,1,5,1,10,16,0
732,1,5,4,2,1,5,1,4,16,0
733,1,3,5,2,1,5,1,0,17,0
734,1,8,1,2,1,0,1,4,14,5
735,1,6,3,2,1,5,1,1,14,0
736,1,2,1,2,1,0,1,1,15,3
737,1,8,1,2,1,1,1,0,16,0
738,1,3,1,2,1,0,1,2,14,5
739,2,5,5,2,1,0,1,4,1,0
740,1,3,4,2,1,0,1,9,13,4
741,1,7,1,2,1,0,1,3,14,0
742,1,6,4,2,1,0,1,4,16,0
743,2,6,5,2,1,0,1,3,14,2
744,1,10,1,2,1,3,1,0,14,0
745,1,8,4,2,1,4,1,7,12,0
746,1,10,3,2,1,0,1,1,1,2
747,1,2,1,2,1,0,1,2,15,0
748,1,6,4,2,1,1,1,0,16,0
749,1,6,3,2,1,0,1,10,1,5
750,1,4,1,2,1,0,1,0,16,2
751,1,5,1,2,1,0,1,4,14,3
752,2,2,5,2,1,0,1,10,1,2
753,1,8,3,2,1,0,1,4,12,3
754,1,7,1,2,1,0,1,9,16,2
755,1,10,1,2,1,1,1,0,13,0
756,1,5,1,2,1,0,1,0,12,3
757,1,5,1,2,1,0,1,10,16,3
758,1,3,1,2,1,0,1,1,16,1
759,1,5,1,2,1,0,1,10,13,3
760,1,4,1,2,1,5,1,1,1,0
761,1,1,4,2,1,5,1,10,16,0
762,1,6,1,2,1,0,1,1,12,1
763,1,8,1,2,1,5,1,2,11,0
764,1,4,1,2,1,0,1,7,15,0
765,1,6,4,2,1,0,1,1,1,0
766,1,7,1,2,1,0,1,7,1,1
767,1,2,1,2,1,2,1,0,1,3
768,1,1,4,2,1,3,1,4,1,0
769,1,4,1,2,1,0,1,9,14,0
770,1,5,1,2,1,3,1,9,15,0
771,1,7,1,2,1,2,1,0,11,2
772,1,6,2,2,1,0,2,0,15,1
773,1,10,1,2,1,5,1,0,15,0
774,1,2,3,2,1,0,1,2,12,2
775,1,3,1,2,2,0,1,9,16,0
776,1,1,1,2,1,0,1,2,14,3
777,1,4,1,2,1,0,1,3,1,5
778,1,9,3,2,1,0,1,9,11,4
779,1,10,1,2,1,0,1,3,15,4
780,1,6,1,2,1,0,1,9,13,4
781,1,2,3,2,1,5,1,4,15,0
782,1,9,1,2,1,3,1,9,12,0
783,1,1,1,2,1,0,1,9,14,3
784,1,5,1,2,1,5,1,7,13,0
785,1,10,3,2,1,5,1,10,15,0
786,1,6,1,2,1,0,1,7,20,0
787,1,3,2,2,1,0,2,7,12,4
788,1,8,4,2,1,2,1,0,16,3
789,1,1,1,2,1,3,1,9,13,0
790,1,5,1,2,1,0,1,7,20,4
791,1,9,1,2,1,5,1,7,1,0
792,1,4,3,2,1,0,1,3,15,2
793,1,3,2,2,1,0,2,0,14,0
794,1,5,1,2,1,0,1,2,1,1
795,1,1,4,2,1,0,1,4,15,3
796,1,6,4,2,1,5,1,0,16,0
797,1,3,1,2,1,0,1,0,13,4
798,1,9,1,2,1,0,1,4,16,1
799,1,4,2,2,1,0,2,4,1,5
800,1,5,1,2,1,0,1,2,14,1
801,1,6,4,2,1,0,1,0,15,0
802,1,10,1,2,1,0,1,3,16,5
803,1,9,2,2,1,0,2,9,11,4
804,1,1,1,2,1,3,1,3,14,0
805,1,5,1,2,1,0,1,10,11,1
806,1,6,1,2,1,0,1,2,14,3
807,1,1,3,2,1,0,1,0,1,3
808,1,5,4,2,1,0,1,4,1,0
809,1,4,1,2,1,3,1,7,1,0
810,1,3,2,2,1,1,2,0,12,4
811,1,6,1,2,1,0,1,10,1,1
812,1,6,1,2,1,0,1,3,13,0
813,1,1,1,2,1,1,1,0,13,0
814,1,8,3,2,2,0,1,9,1,0
815,1,2,1,2,1,5,1,4,11,0
816,1,1,1,2,1,4,1,2,15,0
817,1,6,4,2,1,0,1,9,12,2
818,1,10,1,2,1,4,1,9,15,0
819,1,2,2,2,1,0,2,2,15,0
820,1,1,1,2,1,0,1,0,11,5
821,1,2,2,2,1,0,2,9,11,1
822,1,10,1,2,1,3,1,0,14,5
823,1,6,1,2,1,0,1,7,14,1
824,1,4,1,2,1,0,1,2,1,0
825,1,3,3,2,1,1,1,0,11,3
826,1,5,1,2,1,3,1,0,1,0
827,1,2,1,2,1,0,1,10,15,3
828,1,4,1,2,1,0,1,0,16,4
829,1,6,2,2,1,0,2,0,12,2
830,1,9,1,2,1,0,1,10,13,3
831,1,1,2,2,1,0,2,7,1,0
832,1,9,1,2,1,0,1,4,12,0
833,1,5,2,2,1,5,2,2,16,0
834,1,1,2,2,1,0,2,1,15,0
835,1,10,2,2,1,0,2,10,11,1
836,1,9,1,2,1,0,1,0,16,5
837,1,8,1,2,1,0,1,2,14,0
838,1,4,1,2,1,0,1,9,13,0
839,1,8,4,2,1,0,1,10,16,1
840,1,6,4,2,1,1,1,0,1,0
841,1,5,3,2,1,5,1,7,12,0
842,1,1,1,2,1,0,1,10,14,1
843,1,3,1,2,1,0,1,9,12,4
844,1,8,4,2,2,0,2,3,11,0
845,1,10,1,2,1,3,1,0,1,0
846,1,9,1,2,2,0,1,0,12,0
847,1,10,4,2,1,2,1,0,15,0
848,1,5,1,2,1,0,1,3,1,4
849,1,2,4,2,1,0,1,7,1,1
850,1,8,1,2,1,0,1,2,11,4
851,1,5,3,2,1,0,1,0,14,3
852,1,9,1,2,1,4,1,7,14,0
853,1,10,1,2,1,0,1,0,16,0
854,1,5,1,2,1,3,1,7,14,0
855,1,1,1,2,1,0,1,9,1,2
856,1,6,1,2,1,2,1,0,11,2
857,1,5,1,2,1,0,1,0,1,4
858,1,10,1,2,1,0,1,4,14,4
859,1,2,1,2,1,0,1,10,1,3
860,2,5,5,2,1,0,1,10,17,3
861,1,5,4,2,1,5,1,1,11,0
862,1,7,1,2,1,5,1,1,11,0
863,1,6,4,2,1,1,1,0,12,0
864,1,5,4,2,1,0,1,1,15,2
865,1,8,1,2,1,0,1,2,15,3
866,1,3,1,2,1,5,1,0,12,5
867,1,9,3,2,1,0,1,7,15,0
868,1,2,1,2,1,0,1,1,1,2
869,1,1,1,2,1,1,1,0,14,4
870,1,4,1,2,1,1,1,0,11,0
871,1,8,1,2,1,4,1,0,11,0
872,1,1,1,2,2,0,1,0,1,0
873,1,9,2,2,2,2,2,0,14,0
874,1,2,1,2,1,5,2,3,16,0
875,1,4,3,2,1,1,1,0,13,3
876,1,5,2,2,1,1,2,0,11,3
877,1,1,1,2,1,0,1,0,13,1
878,1,2,2,2,1,0,2,4,14,4
879,1,8,4,2,1,4,1,1,14,0
880,1,1,2,2,1,1,2,0,20,3
881,1,3,2,2,1,0,2,0,13,5
882,1,6,4,2,2,0,1,7,14,0
883,1,4,3,2,1,0,1,10,16,3
884,1,3,4,2,1,4,1,0,16,0
885,1,6,3,2,1,0,1,9,16,2
886,1,1,1,2,2,0,1,5,16,0
887,1,6,1,2,1,0,1,4,15,0
888,1,9,1,2,1,0,1,6,13,1
