Number,Gender,Background,Face color,Occasions,Eyes,Accs on face,Facial Expressions,Accs on head,Clothes,Little Accs
276,1,9,1,2,1,0,1,8,12,4
277,1,2,1,1,2,0,1,8,4,0
278,1,1,1,1,2,0,1,8,2,0
279,1,1,1,1,1,0,1,5,2,2
280,1,2,1,1,1,5,1,8,3,0
281,1,10,1,1,1,0,1,8,3,0
282,1,3,1,2,1,4,1,6,13,0
283,1,2,1,1,2,0,1,8,7,0
284,1,2,1,1,1,0,1,6,5,0
285,1,2,1,2,2,0,1,8,14,0
286,1,1,1,1,2,0,1,5,5,0
287,1,1,1,1,2,0,1,0,5,0
288,1,10,1,1,1,5,1,5,5,0
289,1,1,1,1,1,0,1,5,8,2
290,1,10,1,2,1,0,1,8,16,3
291,1,2,1,1,1,0,1,8,2,2
292,1,10,1,1,1,0,1,8,3,0
293,1,5,1,2,1,6,1,8,14,0
294,1,1,1,1,1,5,1,6,5,0
295,1,2,1,1,1,0,1,6,4,2
296,1,2,3,2,2,0,1,5,13,0
297,1,1,1,1,1,0,1,8,2,2
298,1,2,1,1,2,0,1,5,5,0
299,1,6,1,2,1,0,1,8,16,1
300,1,1,1,1,1,0,1,6,8,0
301,1,2,1,1,1,5,1,0,7,0
302,1,6,1,2,1,0,1,5,14,0
303,1,1,1,1,2,0,1,8,8,0
304,1,1,1,1,1,5,1,5,8,0
305,1,2,1,1,1,0,1,5,8,0
306,1,7,2,2,1,0,2,8,12,3
307,1,8,1,1,1,0,1,8,20,3
308,1,2,1,1,1,7,1,9,20,0
309,1,8,1,1,1,0,1,6,20,5
310,1,9,1,1,2,0,1,5,20,0
311,2,10,5,2,1,0,1,6,10,1
312,1,5,2,2,1,5,2,0,20,0
313,1,9,1,2,1,5,1,1,20,0
314,2,4,5,2,1,0,1,0,14,5
315,2,10,5,2,1,0,1,5,1,0
316,1,6,4,1,1,0,1,8,20,0
317,2,10,5,2,1,0,1,6,14,1
318,1,5,1,2,2,0,1,10,20,0
319,2,7,5,2,1,0,1,10,20,1
320,1,3,1,2,2,0,1,7,12,0
321,1,10,1,2,2,0,1,0,20,0
322,1,4,1,2,1,1,1,0,20,4
323,2,3,5,2,1,0,1,3,20,4
324,1,5,1,2,1,3,1,2,15,0
325,1,10,1,2,1,0,1,4,20,1
326,1,6,1,2,2,0,1,6,14,0
327,2,10,5,2,1,0,1,0,20,0
328,1,8,3,2,1,0,1,1,20,4
329,1,4,3,2,1,7,1,1,12,0
330,1,2,4,2,1,0,1,8,12,0
331,1,7,1,2,1,0,1,6,1,2
332,1,3,1,2,1,1,1,0,20,0
333,1,9,1,2,1,0,1,3,11,4
334,1,7,1,1,1,0,1,5,20,1
335,1,4,1,2,1,0,1,0,1,2
336,1,1,3,2,1,0,1,6,1,0
337,1,5,4,2,1,5,1,8,11,0
338,1,7,1,2,1,4,1,3,14,0
339,1,6,1,2,1,5,1,6,1,0
340,1,9,1,2,1,0,1,5,13,0
341,1,7,1,2,1,0,1,9,16,1
342,2,3,5,2,1,3,1,4,20,0
343,1,10,3,2,1,3,1,8,14,0
344,1,2,1,2,1,0,1,5,1,3
345,1,6,1,2,1,0,1,6,16,1
346,1,1,3,1,1,3,1,5,20,0
347,1,7,1,2,1,0,1,4,11,4
348,1,4,3,2,1,2,1,0,20,0
349,1,8,3,2,1,1,1,0,20,0
